query,dateSearch,price,thumbnail,permalink,seller,source
3165140434805,2024-10-31,1860.0,http://http2.mlstatic.com/D_750798-MLC54785453350_032023-I.jpg,https://articulo.mercadolibre.cl/MLC-1368498823-broca-concreto-cyl-1-35x75x40mm-bosch-_JM,"{'id': 831991615, 'nickname': 'EBERLEIN.CL'}",Meli
3165140434805,2024-10-31,2110.0,http://http2.mlstatic.com/D_862965-MLC71901637516_092023-I.jpg,https://articulo.mercadolibre.cl/MLC-1426938531-broca-para-concreto-35x75mm-bosch-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
3165140434812,2024-10-31,1741.0,http://http2.mlstatic.com/D_638982-MLC71901648868_092023-I.jpg,https://articulo.mercadolibre.cl/MLC-1427015867-broca-para-concreto-4x75mm-bosch-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
3165140434843,2024-10-31,1569.0,http://http2.mlstatic.com/D_816287-MLC49975843033_052022-I.jpg,https://articulo.mercadolibre.cl/MLC-995566855-broca-para-concreto-5x85mm-cyl-1-bosch-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
3165140434843,2024-10-31,1690.0,http://http2.mlstatic.com/D_961531-MLC47130700943_082021-I.jpg,https://articulo.mercadolibre.cl/MLC-578327775-broca-concreto-bosch-5-x-50-x-85-blister-_JM,"{'id': 658475761, 'nickname': 'LUVALY SPA'}",Meli
3165140434874,2024-10-31,2250.0,http://http2.mlstatic.com/D_905485-MLC78565064249_082024-I.jpg,https://articulo.mercadolibre.cl/MLC-1011646794-broca-concreto-bosch-6x60x100mm-blister-_JM,"{'id': 1068794646, 'nickname': 'HERRAM SPA'}",Meli
3165140434874,2024-10-31,1682.0,http://http2.mlstatic.com/D_607660-MLC49975846785_052022-I.jpg,https://articulo.mercadolibre.cl/MLC-995566856-broca-para-concreto-6x100mm-boschmimbral-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
3165140434874,2024-10-31,2150.0,http://http2.mlstatic.com/D_978604-MLC54780668373_032023-I.jpg,https://articulo.mercadolibre.cl/MLC-1368459411-broca-concreto-cyl-1-6x100x60mm-bosch-_JM,"{'id': 831991615, 'nickname': 'EBERLEIN.CL'}",Meli
3165140434874,2024-10-31,1900.0,http://http2.mlstatic.com/D_961531-MLC47130700943_082021-I.jpg,https://articulo.mercadolibre.cl/MLC-578328400-broca-concreto-bosch-6-x-60-x-100-blister-_JM,"{'id': 658475761, 'nickname': 'LUVALY SPA'}",Meli
3165140434911,2024-10-31,1985.0,http://http2.mlstatic.com/D_861132-MLC49975857545_052022-I.jpg,https://articulo.mercadolibre.cl/MLC-995560572-broca-para-concreto-8x120mm-cyl-1-bosch-_JM,"{'id': 539695577, 'nickname': 'FERRETERIA MIMBRAL'}",Meli
